STATUT AMM,STATUT COMMERCIALISATION,SPECIALITE,DOSAGE,FORME,PRESENTATION,PP GN,SUBSTANCE ACTIVE,CLASSE THERAPEUTIQUE,EPI,PPV,PH,PFHT,CODE,TVA
AMM ENREGISTREE,Non Commercialisé,STAPHYPEN,500 MG,INJECTABLE,BOITE DE 1,PP,FLUCLOXACILLINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"12,30","7,70","7,32",1954,
AMM ENREGISTREE,Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN FLACON,"BOITE DE 1 FLACON DE 0,5 ML",PP,VACCIN PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT,VACCINS,GSK,"456,00","303,00","289,13",1955,
AMM ENREGISTREE,Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN FLACON,"BOITE DE 10 FLACONS DE 0,5 ML",PP,VACCIN PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT,VACCINS,GSK,"2963,00","2638,00","2512,93",1956,
AMM ENREGISTREE,Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,"BOITE DE 1 SERINGUE DE 0,5 ML",PP,VACCIN PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT,VACCINS,GSK,"496,00","329,00","314,12",1957,
AMM ENREGISTREE,Non Commercialisé,SYNFLORIX,0,SUSPENSION INJECTABLE EN SERINGUE PRE-REMPLI,"BOITE DE 10 SERINGUES DE 0,5 ML",PP,VACCIN PNEUMOCOCCIQUE OSIDIQUE CONJUGUE 10-VALENT,VACCINS,GSK,"2759,00","2428,00","2313,07",1958,
AMM RETIREE,Rertiré du Marché,SYNTHOL,"0,936 G / 0,26 G / 0,26 G / 0,021 G / 0,105 G / 0,0026 G / 0,00 26 G",LIQUIDE,FLACON DE 200 ML,0,HYDRATE DE CHLORAL // MENTHOL // VERATROLE // RESORCINOL // ACIDE SALICYLIQUE // HUILE ESSENTIELLE DE GERANIUM // HUILE ESSENTIELLE DE CEDRAT,PNEUMOLOGIE,GSK,"16,60","10,40","9,26",1959,
AMM ENREGISTREE,Commercialisé / AO,TRACRIUM,"25 MG / 2,5 ML",SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,PP,ATRACURIUM (DIBESYLATE),ANESTHESIOLOGIE,ZENITH PHARMA,"263,00","175,40","167,06",1960,
AMM ENREGISTREE,Commercialisé / AO,TRACRIUM,50 MG / 5 ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULES,PP,ATRACURIUM (DIBESYLATE),ANESTHESIOLOGIE,ZENITH PHARMA,"330,00","219,00","209,24",1961,
AMM RETIREE,Rertiré du Marché,TRITANRIX-HB,0,VACCIN,BOITE DE 1 FLACON MONODOSE,PP,"VACCIN CONTRE D, T COQUELUCHE ET HEPATITE B",VACCINS,GSK,"114,70","71,70","68,29",1962,
AMM RETIREE,Rertiré du Marché,TUSSIFED,"0,025 G / 0,20 G",SOLUTION BUVABLE,FLACON DE 120 ML,0,TRIPROLIDINE (CHLORHYDRATE)  // DEXTROMETHORPHANE (BROMHYDRATE),PNEUMOLOGIE,GSK,"34,10","21,30","19,00",1963,
AMM RETIREE,Rertiré du Marché,TUSSIFED,"2,5 MG / 30 MG",COMPRIME,BOITE DE 20,0,TRIPROLIDINE (CHLORHYDRATE)  // DEXTROMETHORPHANE (BROMHYDRATE),PNEUMOLOGIE,GSK,"27,80","17,30","15,49",1964,
AMM ENREGISTREE,Non Commercialisé,TWINRIX ADULTE,0,VACCIN,BOITE DE 1 SERINGUE PREREMPLIE,PP,VACCIN CONTRE HEPATITE A ET B,VACCINS,GSK,"455,00","302,00","288,50",1965,
AMM ENREGISTREE,Non Commercialisé,TWINRIX ENFANT,0,VACCIN,BOITE DE 1 SERINGUE PREREMPLIE,PP,VACCIN CONTRE HEPATITE A ET B,VACCINS,GSK,"267,00","178,00","169,57",1966,
AMM ENREGISTREE,Non Commercialisé,ULTIVA,1 MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,PP,REMIFENTANIL,ANESTHESIOLOGIE,ZENITH PHARMA,"267,00","167,10","159,14",1967,
AMM ENREGISTREE,Commercialisé,ULTIVA,2 MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,PP,REMIFENTANIL,ANESTHESIOLOGIE,ZENITH PHARMA,"496,00","329,00","313,96",1968,
AMM ENREGISTREE,Commercialisé,ULTIVA,5 MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 5 FL,PP,REMIFENTANIL,ANESTHESIOLOGIE,ZENITH PHARMA,"999,00","719,00","685,36",1969,
AMM ENREGISTREE,Non Commercialisé,VARILRIX,0,POUDRE ET SOLVANT POUR SOLUTION INJECTABLE,FLACON MONODOSE + BOITE DE 1 SERINGUE PREREMPLIE,PP,VACCIN CONTRE VARICELLE,VACCINS,GSK,"252,00","157,70","150,20",1970,
AMM ENREGISTREE,Commercialisé,VENTOLINE,"0,5 MG / ML",SOLUTION INJECTABLE,BOITE DE 6 AMPOULES,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"25,10","15,70","14,94",1971,
AMM ENREGISTREE,Commercialisé,VENTOLINE,100 µG / DOSE,SUSPENSION POUR INHALATION EN FLACON PRESSURISE,FLACON DE 200DOSES,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"42,20","26,40","25,14",1972,
AMM ENREGISTREE,Non Commercialisé,VENTOLINE,2 MG / 5 ML,SOLUTION BUVABLE,FLACON DE 150 ML,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"27,30","17,10","16,28",1973,
AMM RETIREE,Rertiré du Marché,VENTOLINE,2 MG,COMPRIME,BOITE DE 40,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"18,70","11,70","11,12",1974,
AMM ENREGISTREE,Commercialisé,VENTOLINE,50 MG / 10 ML,SOLUTION POUR INHALATION PAR NEBULISEUR,FLACON DE 10ML,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"29,50","18,40","17,57",1975,
AMM ENREGISTREE,Non Commercialisé,VENTOLINE NEBULES,"5 MG / 2,5 ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"110,00","68,70","65,48",1976,
AMM ENREGISTREE,Non Commercialisé,VENTOLINE NEBULES,"1,25 MG / 2,5 ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"40,00","25,00","23,81",1977,
AMM ENREGISTREE,Non Commercialisé,VENTOLINE NEBULES,"2,5 MG / 2,5 ML",SOLUTION POUR INHALATION PAR NEBULISEUR EN RECIPIENT UNIDOSE,BOITE DE 20,PP,SALBUTAMOL SULFATE,PNEUMOLOGIE,GSK,"73,50","45,90","43,76",1978,
AMM RETIREE,Rertiré du Marché,VOTRIENT,200 MG,COMPRIME PELLICULE,BOITE DE 90,PP,PAZOPANIB (CHLORHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"9478,00","9300,00","8900,64",1979,
AMM RETIREE,Rertiré du Marché,VOTRIENT,400 MG,COMPRIME PELLICULE,BOITE DE 30,PP,PAZOPANIB (CHLORHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"7439,00","7246,00","6901,02",1980,
AMM ENREGISTREE,Commercialisé,WELLBUTRIN XR,150 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 30,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"251,00","156,90","149,42",1981,
AMM ENREGISTREE,Non Commercialisé,WELLBUTRIN XR,150 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 7,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"73,40","45,80","43,67",1982,
AMM ENREGISTREE,Non Commercialisé,WELLBUTRIN XR,150 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 90,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"669,00","444,00","423,50",1983,
AMM ENREGISTREE,Commercialisé,WELLBUTRIN XR,300 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 30,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"468,00","311,00","296,57",1984,
AMM ENREGISTREE,Non Commercialisé,WELLBUTRIN XR,300 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 7,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"110,20","68,90","65,59",1985,
AMM ENREGISTREE,Non Commercialisé,WELLBUTRIN XR,300 MG,COMPRIME A LIBERATION MODIFIEE,BOITE DE 90,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"1076,00","799,00","761,18",1986,
AMM ENREGISTREE,Non Commercialisé,ZANTAC,75 MG,COMPRIME EFFERVESCENT,BOITE DE 12,PP,RANITIDINE,GASTRO-ENTEROLOGIE,GSK,"47,40","29,60","28,20",1987,
AMM ENREGISTREE,Non Commercialisé,ZANTAC,75 MG,COMPRIME PELLICULE,BOITE DE 10,PP,RANITIDINE,GASTRO-ENTEROLOGIE,GSK,"44,60","27,90","26,54",1988,
AMM ENREGISTREE,Non Commercialisé,ZEFFIX,100 MG,COMPRIME PELLICULE,BOITE DE 28,PP,LAMIVUDINE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"629,00","418,00","602,68",1989,
AMM RETIREE,Rertiré du Marché,ZELITREX,1 G,COMPRIME ENROBE,BOITE DE 21,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"601,00","399,00","380,86",1990,
AMM RETIREE,Rertiré du Marché,ZELITREX,250 MG,COMPRIME ENROBE,BOITE DE 20,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"203,00","126,90","120,88",1991,
AMM RETIREE,Rertiré du Marché,ZELITREX,250 MG,COMPRIME ENROBE,BOITE DE 30,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"295,00","196,60","187,23",1992,
AMM RETIREE,Rertiré du Marché,ZELITREX,250 MG,COMPRIME ENROBE,BOITE DE 60,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"562,00","373,00","355,74",1993,
AMM ENREGISTREE,Non Commercialisé,ZELITREX,500 MG,COMPRIME ENROBE,BOITE DE 10,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"192,90","120,60","114,82",1994,
AMM ENREGISTREE,Non Commercialisé,ZELITREX,500 MG,COMPRIME ENROBE,BOITE DE 42,PP,VALACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"725,00","482,00","459,37",1995,
AMM ENREGISTREE,Commercialisé,ZENTEL,"0,4 G / 10 ML",SUSPENSION BUVABLE,FLACON DE 10ML,PP,ALBENDAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"42,90","26,80","25,53",1996,
AMM ENREGISTREE,Commercialisé,ZENTEL,400 MG,COMPRIME PELLICULE,BOITE DE 1,PP,ALBENDAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"34,90","21,80","20,76",1997,
AMM ENREGISTREE,Non Commercialisé,ZIAGEN,20 MG / ML,SOLUTION BUVABLE,FLACON DE 240ML,PP,ABACAVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"1017,00","738,00","703,46",1998,
AMM ENREGISTREE,Non Commercialisé,ZIAGEN,300 MG,COMPRIME PELLICULE,BOITE DE 60,PP,ABACAVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"2867,00","2540,00","2419,05",1999,
AMM ENREGISTREE,Non Commercialisé,ZINNAT,125 MG / 5 ML,SUSPENSION,FLACON DE 50ML,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"88,60","55,40","52,75",2000,
AMM ENREGISTREE,Commercialisé,ZINNAT,125 MG / ML,SUSPENSION,FLACON DE 100 ML,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"156,00","97,20","86,80",2001,
AMM ENREGISTREE,Commercialisé,ZINNAT,125 MG,COMPRIME PELLICULE,BOITE DE 10,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"64,10","40,00","38,15",2002,
AMM ENREGISTREE,Commercialisé,ZINNAT,250 MG / 5 ML,SUSPENSION,FLACON DE 50ML,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"104,40","65,20","62,13",2003,
AMM ENREGISTREE,Commercialisé,ZINNAT,250 MG,COMPRIME PELLICULE,BOITE DE 14,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"130,10","81,30","77,43",2004,
AMM ENREGISTREE,Commercialisé,ZINNAT,500 MG,COMPRIME PELLICULE,BOITE DE 10,PP,CEFUROXIME AXETIL,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"131,90","82,50","78,54",2005,
AMM ENREGISTREE,Non Commercialisé,ZINNAT,750 MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,PP,CEFUROXIME (SODIQUE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"55,50","34,70","33,06",2006,
AMM RETIREE,Rertiré du Marché,ZOPHREN,2 MG / ML,INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"205,00","128,10","114,36",2007,
AMM RETIREE,Rertiré du Marché,ZOPHREN,2 MG / ML,INJECTABLE,BOITE DE 1 AMPOULES DE 2 ML,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"119,50","74,50","66,50",2008,
AMM RETIREE,Rertiré du Marché,ZOPHREN,2 MG / ML,INJECTABLE,BOITE DE 5 AMPOULES DE 2 ML,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"461,00","305,00","272,94",2009,
AMM RETIREE,Rertiré du Marché,ZOPHREN,2 MG / ML,INJECTABLE,BOITE DE 5 AMPOULES DE 4 ML,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"793,00","525,00","469,13",2010,
AMM ENREGISTREE,Non Commercialisé,ZOPHREN,4 MG,COMPRIME PELLICULE,BOITE DE 10,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"418,00","277,00","264,76",2011,
AMM ENREGISTREE,Non Commercialisé,ZOPHREN,8 MG,COMPRIME PELLICULE,BOITE DE 10,PP,ONDANSETRON (CHLOHYDRATE),CANCEROLOGIE-HEMATOLOGIE,GSK,"569,00","378,00","360,63",2012,
AMM ENREGISTREE,Non Commercialisé,ZOVIRAX,"0,03",POMMADE OPHTALMIQUE,"TUBE DE 4,5 G",PP,ACICLOVIR,OPHTALMOLOGIE,GSK,"79,70","49,80","47,45",2013,
AMM RETIREE,Rertiré du Marché,ZOVIRAX,"0,05",CREME DERMIQUE,TUBE DE 10 G,PP,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"150,00","93,50","83,44",2014,
AMM ENREGISTREE,Commercialisé,ZOVIRAX,"0,05",CREME DERMIQUE,TUBE DE 2 G,PP,ACICLOVIR,DERMATOLOGIE,GSK,"42,00","26,30","25,03",2015,
AMM ENREGISTREE,Non Commercialisé,ZOVIRAX,200 MG,COMPRIME,BOITE DE 25,PP,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"193,50","120,90","115,17",2016,
AMM ENREGISTREE,Non Commercialisé,ZOVIRAX,250 MG,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1,PP,ACICLOVIR,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,GSK,"160,20","100,10","95,35",2017,
AMM ENREGISTREE,Non Commercialisé,ZYBAN,150 MG,COMPRIME PELLICULE A LIBERATION PROLONGEE,BOITE DE 30,PP,BUPROPION (CHLORHYDRATE),NEUROLOGIE-PSYCHIATRIE,GSK,"325,00","216,00","206,07",2018,
AMM RETIREE,Rertiré du Marché,AMIODARONE AGUETTANT,50 MG / ML,SOLUTION INJECTABLE,BOITE DE 10 AMPOULE DE 3 ML,GN,AMIODARONE (CHLORHYDRATE),CARDIOLOGIE ET ANGEIOLOGIE,HEMOLAB PHARMA,"76,20","47,60","45,36",2019,
AMM ENREGISTREE,Commercialisé,BUPIVACAINE AGUETTANT,"0,0025",SOLUTION INJECTABLE,BOITE DE 10 FLACON DE 20 ML,GN,BUPIVACAINE,ANESTHESIOLOGIE,HEMOLAB PHARMA,"220,00","137,90","131,38",2020,
AMM ENREGISTREE,Commercialisé,BUPIVACAINE AGUETTANT,"0,005",SOLUTION INJECTABLE,BOITE DE 10 FLACON DE 20 ML,GN,BUPIVACAINE,ANESTHESIOLOGIE,HEMOLAB PHARMA,"220,00","137,90","131,38",2021,
AMM RETIREE,Rertiré du Marché,BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT,5 MG / ML,SOLUTION INJECTABLE,BOITE DE 1 AMPOULE DE 4 ML,GN,BUPIVACAINE,ANESTHESIOLOGIE,HEMOLAB PHARMA,"38,00","23,70","21,14",2022,
AMM ENREGISTREE,Non Commercialisé,BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT,5 MG / ML,SOLUTION INJECTABLE,BOITE DE 20 AMPOULE DE 4 ML,GN,BUPIVACAINE,ANESTHESIOLOGIE,HEMOLAB PHARMA,"675,00","448,00","427,24",2023,
AMM RETIREE,Rertiré du Marché,CARBOPLATINE AGUETTANT,10 MG / ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 15 ML,GN,CARBOPLATINE,CANCEROLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,"1096,00","820,00","781,20",2024,
AMM RETIREE,Rertiré du Marché,CARBOPLATINE AGUETTANT,10 MG / ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 45 ML,GN,CARBOPLATINE,CANCEROLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,"2713,00","2381,00","2268,00",2025,
AMM RETIREE,Rertiré du Marché,CARBOPLATINE AGUETTANT,10 MG / ML,SOLUTE INJECTABLE,BOITE DE 1 FLACON DE 5 ML,GN,CARBOPLATINE,CANCEROLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,"467,00","310,00","296,10",2026,
AMM RETIREE,Rertiré du Marché,CEFTRIAXONE AGUETTANT,1 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,GN,CEFTRIAXONE (SODIQUE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"84,10","52,60","50,07",2027,
AMM RETIREE,Rertiré du Marché,CEFTRIAXONE AGUETTANT,"1 G / 3,5 ML","POUDRE POUR SOLUTION INJECTABLE AVEC 1 AMPOULE DE 3,5ML",BOITE DE 1 FLACON,GN,CEFTRIAXONE (SODIQUE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"84,10","52,60","50,07",2028,
AMM RETIREE,Rertiré du Marché,CEFTRIAXONE AGUETTANT,2 G,POUDRE POUR SOLUTION INJECTABLE,BOITE DE 1 FLACON,GN,CEFTRIAXONE (SODIQUE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"121,50","75,90","72,32",2029,
AMM ENREGISTREE,Non Commercialisé,CHLORURE DE SODIUM MEGDICH PHARMA,"0,009",SOLUTION INJECTABLE,POCHE DE 1 L,GN,CHLORURE DE SODIUM,SOLUTION POUR PERFUSION,HEMOLAB PHARMA,"23,40","14,60","13,96",2030,
AMM ENREGISTREE,Non Commercialisé,CHLORURE DE SODIUM MEGDICH PHARMA,"0,009",SOLUTION INJECTABLE,POCHE DE 3 L,GN,CHLORURE DE SODIUM,SOLUTION POUR PERFUSION,HEMOLAB PHARMA,"77,00","48,10","45,84",2031,
AMM ENREGISTREE,Non Commercialisé,CIPROFLOXACINE AGUETTANT,200 MG / 100 ML,SOLUTION POUR PERFUSION,BOITE DE 20 POCHES DE 100 ML,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"1331,00","1061,00","1011,13",2032,
AMM ENREGISTREE,Non Commercialisé,CIPROFLOXACINE AGUETTANT,400 MG / 200 ML,SOLUTION POUR PERFUSION,BOITE DE 20 POCHES DE 200ML,GN,CIPROFLOXACINE (CHLORHYDRATE),INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"1722,00","1464,00","1394,75",2033,
AMM ENREGISTREE,Commercialisé,CLAIRYG,50 MG / ML,SOLUTION POUR PERFUSION,FLACON DE 100 ML,BS,IMMUNOGLOBULINE HUMAINE NORMALE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"2851,00","2523,00","2403,25",2034,
AMM RETIREE,Rertiré du Marché,CLAIRYG,50 MG / ML,SOLUTION POUR PERFUSION,FLACON DE 20 ML,BS,IMMUNOGLOBULINE HUMAINE NORMALE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"838,00","555,00","495,94",2035,
AMM ENREGISTREE,Non Commercialisé,CLAIRYG,50 MG / ML,SOLUTION POUR PERFUSION,FLACON DE 200 ML,BS,IMMUNOGLOBULINE HUMAINE NORMALE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"5302,00","5046,00","4806,51",2036,
AMM ENREGISTREE,Non Commercialisé,CLAIRYG,50 MG / ML,SOLUTION POUR PERFUSION,FLACON DE 400 ML,BS,IMMUNOGLOBULINE HUMAINE NORMALE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"10517,00","10318,00","9918,92",2037,
AMM ENREGISTREE,Non Commercialisé,CLAIRYG,50 MG / ML,SOLUTION POUR PERFUSION,FLACON DE 50 ML,BS,IMMUNOGLOBULINE HUMAINE NORMALE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"1525,00","1261,00","1201,68",2038,
AMM ENREGISTREE,Commercialisé,CLOTTAFACT,"1,5 G / 100 ML",SOLUTION INJECTABLE,FLACON DE 100 ML,PP,FIBRINOGENE HUMAINE,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"7356,00","7161,00","6820,00",2039,
AMM RETIREE,Rertiré du Marché,DOBUTAMINE AGUETTANT,250 MG / 20 ML,LYOPHILISAT,BOITE DE 10 FL,GN,DOBUTAMINE (CHLORHYDRATE),CARDIOLOGIE ET ANGEIOLOGIE,HEMOLAB PHARMA,"1463,00","1197,00","1140,30",2040,
AMM RETIREE,Rertiré du Marché,DOBUTAMINE AGUETTANT,250 MG / 20 ML,SOLUTION POUR PERFUSION,BOITE DE 10 AMPOULES DE 20 ML,GN,DOBUTAMINE (CHLORHYDRATE),CARDIOLOGIE ET ANGEIOLOGIE,HEMOLAB PHARMA,"802,00","533,00","508,16",2041,
AMM RETIREE,Rertiré du Marché,DOPAMINE AGUETTANT,10 MG / ML,SOLUTION INJECTABLE IV,BOITE DE 50 AMPOULES DE 5 ML,GN,DOPAMINE,CARDIOLOGIE ET ANGEIOLOGIE,HEMOLAB PHARMA,"518,00","344,00","328,00",2042,
AMM RETIREE,Rertiré du Marché,DOPAMINE AGUETTANT,40 MG / ML,SOLUTION INJECTABLE IV,BOITE DE 50 AMPOULES DE 5 ML,GN,DOPAMINE,CARDIOLOGIE ET ANGEIOLOGIE,HEMOLAB PHARMA,"747,00","496,00","473,00",2043,
AMM ENREGISTREE,Commercialisé,EPHEDRINE AGUETTANT,"0,03",SOLUTE INJECTABLE,BOITE DE 10 AMPOULES DE 1 ML,GN,EPHEDRINE (CHLORHYDRATE),ANESTHESIOLOGIE,HEMOLAB PHARMA,"139,20","87,00","82,84",2044,
AMM RETIREE,Rertiré du Marché,EPHEDRINE AGUETTANT,30 MG / ML,SOLUTION INJECTABLE,BOITE DE 5 AMPOULES DE 1 ML,0,EPHEDRINE (CHLORHYDRATE),ANESTHESIOLOGIE,HEMOLAB PHARMA,"83,20","52,00","49,51",2045,
AMM ENREGISTREE,Non Commercialisé,FACTANE,100 UI / ML,SOLUTION INJECTABLE,FLACON DE 10ML,PP,FACTEUR VIII DE COAGULATION,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"5550,00","5301,00","5049,49",2046,
AMM ENREGISTREE,Non Commercialisé,FACTANE,100 UI / ML,SOLUTION INJECTABLE,"FLACON DE 2,5 ML",PP,FACTEUR VIII DE COAGULATION,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"1688,00","1429,00","1361,00",2047,
AMM ENREGISTREE,Non Commercialisé,FACTANE,100 UI / ML,SOLUTION INJECTABLE,FLACON DE 5 ML,PP,FACTEUR VIII DE COAGULATION,HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"2906,00","2580,00","2457,18",2048,
AMM ENREGISTREE,Non Commercialisé,FLUCONAZOLE AGUETTANT,2 MG / ML,SOLUTE INJECTABLE,10 POCHES DE 200 ML,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"1305,00","1034,00","985,31",2049,
AMM ENREGISTREE,Non Commercialisé,FLUCONAZOLE AGUETTANT,2 MG / ML,SOLUTE INJECTABLE,10 POCHES DE 100 ML,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"1147,00","872,00","831,33",2050,
AMM ENREGISTREE,Non Commercialisé,FLUCONAZOLE AGUETTANT,2 MG / ML,SOLUTE INJECTABLE,10 POCHES DE 50 ML,GN,FLUCONAZOLE,INFECTIOLOGIE-PARASITOLOGIE-IMMUNOLOGIE,HEMOLAB PHARMA,"810,00","538,00","512,68",2051,
AMM ENREGISTREE,Non Commercialisé,FLUDARABINE PHOSPHATE PCH,25 MG / ML,CONCENTRE POUR SOLUTION POUR INJECTION OU PERFUSION,BOITE DE 1 FLACON DE 2 ML,GN,FLUDARABINE (PHOSPHATE),CANCEROLOGIE-HEMATOLOGIE,HEMOLAB PHARMA,"239,00","149,40","142,32",2052,
AMM ENREGISTREE,Commercialisé,ENOXA,"2000 UI ANTI XA / 0,2 ML",SOLUTION INJECTABLE EN SERINGUE PRE-REMPLIE,BOITE DE 2 SERINGUES DE 1 ML,GN,ENOXAPARINE (SODIQUE),HEMATOLOGIE ET HEMOSTASE,HEMOLAB PHARMA,"65,30","40,80","38,87",2053,
